khach_hang_id,ho_ten,gioi_tinh,email,so_dien_thoai,dia_chi,tai_khoan_id,mat_khau,vai_tro
KH0001,Lê Ngọc Ngọc,Nữ,julia38@hall.org,0331242725,"165 Phạm Văn Đồng, Cần Thơ, Việt Nam",TK0001,V%68FMoQ!s,customer
KH0002,Trần Thanh Trang,Nữ,johnmiller@gutierrez.com,0226068051,"199 Nguyễn Trãi, Huế, Việt Nam",TK0002,5E4xFz7x!n,customer
KH0003,Hoàng Khánh Nhi,Nữ,jonathan93@johnson.com,0588506961,"286 Điện Biên Phủ, Hải Phòng, Việt Nam",TK0003,OhC&9JWwsL,customer
KH0004,Phan Khánh Lan,Nữ,bconrad@robinson.com,0029394261,"163 Hai Bà Trưng, Cần Thơ, Việt Nam",TK0004,&gm5!QDuIY,customer
KH0005,Đặng Thuỳ Linh,Nữ,collin26@martinez-rose.com,0489724284,"49 Phạm Văn Đồng, Đà Nẵng, Việt Nam",TK0005,#^_3FKknC6,customer
KH0006,Vũ Thị Hương,Nữ,stacyadams@davis.com,0854590680,"187 Hai Bà Trưng, Bình Dương, Việt Nam",TK0006,5(mVH2(p*L,customer
KH0007,Trần Thuỳ Thảo,Nữ,matthewchang@gmail.com,0354435827,"180 Hai Bà Trưng, Cần Thơ, Việt Nam",TK0007,%4Ml*itjA*,customer
KH0008,Bùi Khánh Ngọc,Nữ,keithle@yahoo.com,0729503427,"169 Trần Hưng Đạo, TP Hồ Chí Minh, Việt Nam",TK0008,63vJk15**7,customer
KH0009,Huỳnh Thuỳ Hương,Nữ,fullerscott@marshall.biz,0740976247,"118 Phạm Văn Đồng, Hải Phòng, Việt Nam",TK0009,1*4rHnr$+R,customer
KH0010,Nguyễn Thanh Linh,Nữ,serranochristopher@johnson.com,0188352514,"224 Hai Bà Trưng, Hà Nội, Việt Nam",TK0010,!dI&Cu@J42,customer
KH0011,Bùi Ngọc Ngọc,Nữ,mmontoya@yahoo.com,0086827195,"128 Nguyễn Huệ, Hải Phòng, Việt Nam",TK0011,f^w1x8Ol%Q,customer
KH0012,Lê Thanh Trang,Nữ,cooperbeth@yahoo.com,0043149932,"183 Phạm Văn Đồng, Quảng Ngãi, Việt Nam",TK0012,_06enYOaiU,customer
